Task,Difficulty,Region,Type,Points,ready-to-use,auto-completed
[173] Bank at Mount Quidamortem,Easy,Kourend,Misc,10,no,
[174] Travel to Molch Island,Easy,Kourend,Misc,10,no,
[175] Equip Tier 5 Shayzien Armour,Hard,Kourend,Misc,80,no,
[177] Equip Xeric's Talisman,Medium,Kourend,Combat,30,yes,
[178] Cast Kourend Castle Teleport,Medium,Kourend,Misc,30,no,
[181] Purchase a Seed Box,Medium,Kourend,Other,30,no,
[183] Equip the Pyromancer's Garb,Hard,Kourend,Other,80,no,
[186] Equip a Fish Sack,Hard,Kourend,Skilling,80,yes,
[187] Equip a Golden Tench,Elite,Kourend,Skilling,200,yes,
[188] Bury Some Wyvern or Dragon Bones,Medium,General,Combat,30,no,
[189] Open the Leagues Menu,Easy,General,Misc,10,yes,
[190] Complete the Leagues Tutorial,Easy,General,Misc,10,yes,
[191] Achieve Your First Level Up,Easy,General,Skilling,10,no,
[192] Achieve Your First Level 5,Easy,General,Skilling,10,no,
[193] Achieve Your First Level 10,Easy,General,Skilling,10,no,
[194] Achieve Your First Level 20,Easy,General,Skilling,10,no,
[195] Achieve Your First Level 30,Medium,General,Skilling,30,no,
[196] Achieve Your First Level 40,Medium,General,Skilling,30,no,
[197] Achieve Your First Level 50,Medium,General,Skilling,30,no,
[198] Achieve Your First Level 60,Medium,General,Skilling,30,no,
[199] Achieve Your First Level 70,Hard,General,Skilling,80,no,
[200] Achieve Your First Level 80,Hard,General,Skilling,80,no,
[201] Achieve Your First Level 90,Elite,General,Skilling,200,no,
[202] Achieve Your First Level 95,Elite,General,Skilling,200,no,
[203] Reach Total Level 100,Medium,General,Skilling,30,no,
[204] Reach Total Level 250,Medium,General,Skilling,30,no,
[205] Reach Total Level 500,Medium,General,Skilling,30,no,
[206] Reach Total Level 750,Medium,General,Skilling,30,no,
[207] Reach Total Level 1000,Hard,General,Skilling,80,no,
[208] Reach Total Level 1250,Hard,General,Skilling,80,no,
[209] Reach Total Level 1500,Hard,General,Skilling,80,no,
[210] Reach Total Level 1750,Hard,General,Skilling,80,no,
[211] Reach Total Level 2000,Elite,General,Skilling,200,no,
[212] Reach Total Level 2100,Elite,General,Skilling,200,no,
[213] Reach Total Level 2200,Elite,General,Skilling,200,no,
[214] Reach Total Level 2277,Master,General,Skilling,400,no,
[215] Reach Base Level 5,Medium,General,Skilling,30,no,
[216] Reach Base Level 10,Medium,General,Skilling,30,no,
[217] Reach Base Level 20,Medium,General,Skilling,30,no,
[218] Reach Base Level 30,Medium,General,Skilling,30,no,
[219] Reach Base Level 40,Hard,General,Skilling,80,no,
[220] Reach Base Level 50,Hard,General,Skilling,80,no,
[221] Reach Base Level 60,Hard,General,Skilling,80,no,
[222] Reach Base Level 70,Hard,General,Skilling,80,no,
[223] Reach Base Level 80,Elite,General,Skilling,200,no,
[224] Reach Base Level 90,Elite,General,Skilling,200,no,
[225] Reach Base Level 95,Master,General,Skilling,400,no,
[226] Reach Level 99 Attack,Elite,General,Skilling,200,no,
[228] Reach Level 99 Strength,Elite,General,Skilling,200,no,
[230] Reach Level 99 Defence,Elite,General,Skilling,200,no,
[232] Reach Level 99 Ranged,Elite,General,Skilling,200,no,
[234] Reach Level 99 Prayer,Elite,General,Skilling,200,no,
[235] Obtain 25 Million Prayer XP,Elite,General,Skilling,200,no,
[236] Reach Level 99 Magic,Elite,General,Skilling,200,no,
[238] Reach Level 99 Runecraft,Elite,General,Skilling,200,no,
[239] Obtain 25 Million Runecraft XP,Elite,General,Skilling,200,no,
[240] Reach Level 99 Construction,Elite,General,Skilling,200,no,
[241] Obtain 25 Million Construction XP,Elite,General,Skilling,200,no,
[242] Reach Level 99 Hitpoints,Elite,General,Skilling,200,no,
[244] Reach Level 99 Agility,Elite,General,Skilling,200,no,
[245] Obtain 25 Million Agility XP,Elite,General,Skilling,200,no,
[246] Reach Level 99 Herblore,Elite,General,Skilling,200,no,
[247] Obtain 25 Million Herblore XP,Elite,General,Skilling,200,no,
[248] Reach Level 99 Thieving,Elite,General,Skilling,200,no,
[249] Obtain 25 Million Thieving XP,Elite,General,Skilling,200,no,
[250] Reach Level 99 Crafting,Elite,General,Skilling,200,no,
[251] Obtain 25 Million Crafting XP,Elite,General,Skilling,200,no,
[252] Reach Level 99 Fletching,Elite,General,Skilling,200,no,
[253] Obtain 25 Million Fletching XP,Elite,General,Skilling,200,no,
[254] Reach Level 99 Slayer,Elite,General,Skilling,200,no,
[255] Obtain 25 Million Slayer XP,Elite,General,Skilling,200,no,
[256] Reach Level 99 Hunter,Elite,General,Skilling,200,no,
[257] Obtain 25 Million Hunter XP,Elite,General,Skilling,200,no,
[258] Reach Level 99 Mining,Elite,General,Skilling,200,no,
[259] Obtain 25 Million Mining XP,Elite,General,Skilling,200,no,
[260] Reach Level 99 Smithing,Elite,General,Skilling,200,no,
[261] Obtain 25 Million Smithing XP,Elite,General,Skilling,200,no,
[262] Reach Level 99 Fishing,Elite,General,Skilling,200,no,
[263] Obtain 25 Million Fishing XP,Elite,General,Skilling,200,no,
[264] Reach Level 99 Cooking,Elite,General,Skilling,200,no,
[265] Obtain 25 Million Cooking XP,Elite,General,Skilling,200,no,
[266] Reach Level 99 Firemaking,Elite,General,Skilling,200,no,
[267] Obtain 25 Million Firemaking XP,Elite,General,Skilling,200,no,
[268] Reach Level 99 Woodcutting,Elite,General,Skilling,200,no,
[269] Obtain 25 Million Woodcutting XP,Elite,General,Skilling,200,no,
[270] Reach Level 99 Farming,Elite,General,Skilling,200,no,
[271] Obtain 25 Million Farming XP,Elite,General,Skilling,200,no,
[272] Obtain a Skilling Pet,Elite,General,Skilling,200,no,
[273] Pickpocket a Citizen,Easy,General,Skilling,10,no,
[274] Open 28 Coin Pouches At Once,Medium,General,Skilling,30,no,
[275] Steal a Chocolate Slice,Easy,General,Skilling,10,no,
[277] Obtain 800 Coins From Coin Pouches At Once,Medium,General,Skilling,30,no,
[279] Steal From a Gem Stall,Hard,General,Skilling,80,no,
[280] Rake a Farming Patch,Easy,General,Skilling,10,no,
[281] Plant Seeds in an Allotment Patch,Easy,General,Skilling,10,no,
[282] Protect Your Crops,Easy,General,Skilling,10,no,
[283] Harvest an Irit Leaf,Medium,General,Skilling,30,partial,
[284] Fill a Bucket With Supercompost,Medium,General,Skilling,30,no,
[285] Check a grown Fruit Tree,Medium,General,Skilling,30,no,
[288] Travel Between Your Spirit Trees,Elite,Kandarin,Skilling,200,no,
[289] Chop Some Logs,Easy,General,Skilling,10,no,
[290] Chop Some Logs With a Steel Axe,Easy,General,Skilling,10,no,
[291] Obtain a Bird Nest,Easy,General,Skilling,10,partial,
[292] Chop 100 Willow Logs,Medium,General,Skilling,30,partial,
[293] Chop Some Logs With a Rune Axe,Medium,General,Skilling,30,no,
[294] Build a Waka Canoe,Medium,General,Skilling,30,no,
[295] Chop 75 Magic Logs,Hard,General,Skilling,80,partial,
[296] Cook Shrimp,Easy,General,Skilling,10,no,
[297] Burn Some Food,Easy,General,Skilling,10,no,
[298] Successfully Cook 5 Pieces of Food,Medium,General,Skilling,30,no,
[299] Ferment 100 Jugs of Wine,Hard,General,Skilling,80,no,
[300] Cook 100 Lobsters,Medium,General,Skilling,30,no,
[301] Make a Pineapple Pizza,Medium,General,Skilling,30,partial,
[302] Cook 100 Sharks,Hard,General,Skilling,80,no,
[303] Mine some Copper Ore,Easy,General,Skilling,10,no,
[304] Mine some Ore With a Steel Pickaxe,Easy,General,Skilling,10,no,
[305] Obtain a Gem While Mining,Medium,General,Skilling,30,no,
[306] Mine 50 Iron Ore,Medium,General,Skilling,30,partial,
[307] Mine some Ore With a Rune Pickaxe,Medium,General,Skilling,30,no,
[308] Obtain a Clue Geode While Mining,Medium,General,Skilling,30,no,
[309] Mine 50 Adamantite Ore,Hard,General,Skilling,80,partial,
[310] Fletch Some Arrow Shafts,Easy,General,Skilling,10,no,
[311] Fletch an Oak Shortbow,Easy,General,Skilling,10,partial,
[312] Fletch 150 Iron Arrows,Medium,General,Skilling,30,no,
[313] Fletch a Willow Shortbow (u),Medium,General,Skilling,30,partial,
[314] Create a Mithril Grapple,Hard,General,Skilling,80,no,
[315] Fletch some Broad Arrows or Bolts,Medium,General,Skilling,30,no,
[317] Fletch a Rune Crossbow,Hard,General,Skilling,80,partial,
[319] Check Your Slayer Task,Easy,General,Combat,10,no,
[320] Slay 250 Creatures,Medium,General,Combat,30,no,
[321] Equip a Spiny Helmet,Easy,General,Combat,10,yes,
[322] Defeat a Superior Slayer Creature,Medium,General,Combat,30,no,
[326] Defeat 10 Superior Slayer Creatures,Hard,General,Combat,80,no,
[327] Defeat 20 Superior Slayer Creatures,Hard,General,Combat,80,no,
[328] Slay an Abyssal Demon,Elite,General,Combat,200,yes,
[330] Defeat 50 Superior Slayer Creatures,Elite,General,Combat,200,no,
[331] Spin a Ball of Wool,Easy,General,Skilling,10,no,
[332] Cut a Sapphire,Easy,General,Skilling,10,no,
[333] Craft a Leather Body,Easy,General,Skilling,10,partial,
[334] Craft 100 Unpowered Orbs,Hard,General,Skilling,80,no,
[335] Craft an Emerald Ring,Medium,General,Skilling,30,partial,
[336] Craft a Ruby Amulet,Medium,General,Skilling,30,partial,
[337] Craft a Dragonstone Amulet,Hard,General,Skilling,80,partial,
[338] Craft 30 Blue Dragonhide Bodies,Hard,General,Skilling,80,no,
[339] Craft an Onyx Amulet,Elite,General,Skilling,200,partial,
[340] Catch a Shrimp,Easy,General,Skilling,10,no,
[341] Catch a Herring,Easy,General,Skilling,10,partial,
[342] Catch an Anchovy,Easy,General,Skilling,10,no,
[343] Catch 100 Lobsters,Medium,General,Skilling,30,no,
[344] Catch 50 Swordfish,Medium,General,Skilling,30,partial,
[345] Catch 50 Salmon,Medium,General,Skilling,30,partial,
[346] Catch 100 Shark,Hard,General,Skilling,80,partial,
[347] Smelt a Bronze Bar,Easy,General,Skilling,10,no,
[348] Smelt an Iron Bar,Easy,General,Skilling,10,no,
[349] Smith 150 Iron Arrowtips,Medium,General,Skilling,30,partial,
[351] Smith a Steel Platebody,Medium,General,Skilling,30,partial,
[352] Smelt a Steel Bar,Medium,General,Skilling,30,no,
"[353] Smith 1,000 Adamant Dart Tips",Hard,Desert,Skilling,80,no,
[354] Smelt a Runite Bar,Hard,General,Skilling,80,no,
[355] Smith a Dragonfire Shield,Elite,General,Skilling,200,partial,
[356] Purchase a Player Owned House,Easy,General,Skilling,10,no,
[357] Build a Room in Your Player Owned House,Medium,General,Skilling,30,no,
[358] Turn any Logs Into a Plank,Easy,General,Skilling,10,no,
[359] Build a Mahogany Portal,Medium,General,Skilling,30,no,
[360] Build an Oak Larder,Medium,General,Skilling,30,no,
[361] Fill a Medium STASH Unit,Medium,General,Skilling,30,no,
[362] Fill a Hard STASH Unit,Hard,General,Skilling,80,no,
[364] Visit the Rune Essence Mine,Easy,General,Skilling,10,no,
[366] Locate a Runecrafting Altar With a Talisman,Easy,General,Skilling,10,no,
[367] Craft 200 Essence Into Runes,Medium,General,Skilling,30,no,
[368] Craft 4 Runes With 1 Essence,Medium,General,Skilling,30,no,
[369] Craft Any Combination Rune,Medium,General,Skilling,30,no,
[370] Craft 2500 Essence Into Runes,Hard,General,Skilling,80,no,
[371] Burn Some Normal Logs,Easy,General,Skilling,10,no,
[372] Burn Some Oak Logs,Easy,General,Skilling,10,no,
[373] Light a Torch,Easy,General,Skilling,10,no,
[374] Burn 100 Willow Logs,Medium,General,Skilling,30,no,
[376] Light a Bullseye Lantern,Medium,General,Skilling,30,no,
[377] Burn 100 Yew Logs,Hard,General,Skilling,80,no,
[378] Burn Some Magic Logs,Hard,General,Skilling,80,no,
[379] Catch a Baby Impling,Easy,General,Skilling,10,no,
[380] Snare a Bird,Easy,General,Skilling,10,no,
"[381] Equip full Graahk, Larupia or Kyatt",Medium,General,Skilling,30,no,
[382] Catch a Swamp Lizard or Salamander,Medium,General,Skilling,30,no,
[384] Catch a Dragon Impling,Hard,General,Skilling,80,no,
[385] Catch a Lucky Impling Bare-Handed,Elite,General,Skilling,200,no,
[386] Obtain a Mark of Grace,Medium,General,Skilling,30,partial,
[387] Use the Protect from Melee Prayer,Medium,General,Combat,30,no,
[389] Complete 50 Laps of a Rooftop Agility Course,Medium,General,Skilling,30,no,
[391] Clean a Grimy Guam,Easy,General,Skilling,10,no,
[392] Make an Attack Potion,Easy,General,Skilling,10,no,
[393] Drink a Strength Potion,Easy,General,Skilling,10,no,
[394] Make 30 Prayer Potions,Medium,General,Skilling,30,no,
[395] Clean a Grimy Avantoe,Medium,General,Skilling,30,no,
[396] Make a 4 dose potion,Medium,General,Skilling,30,no,
[397] Make a Saradomin Brew,Hard,General,Skilling,80,no,
[399] Make a Super Combat Potion,Elite,General,Skilling,200,no,
[400] Obtain a Boss Pet,Elite,General,Combat,200,no,
[401] Reach Combat Level 10,Easy,General,Combat,10,no,
[402] Reach Combat Level 25,Easy,General,Combat,10,no,
[403] Reach Combat Level 50,Medium,General,Combat,30,no,
[404] Reach Combat Level 75,Medium,General,Combat,30,no,
[405] Reach Combat Level 100,Hard,General,Combat,80,no,
[406] Reach Combat Level 110,Hard,General,Combat,80,no,
[407] Reach Combat Level 120,Elite,General,Combat,200,no,
[408] Reach Combat Level 126,Elite,General,Combat,200,no,
[409] Visit Death's Domain,Easy,General,Combat,10,no,
[410] Perform a Special Attack,Easy,General,Combat,10,no,
[411] Add a Jar to a Display Case,Elite,General,Combat,200,no,
[412] Equip a Mithril Weapon,Medium,General,Combat,30,no,
[413] Equip an Adamant Weapon,Medium,General,Combat,30,no,
[414] Equip a Rune Weapon,Medium,General,Combat,30,no,
[415] Equip a Dragon Weapon,Hard,General,Combat,80,no,
[416] Equip an Abyssal Whip,Elite,General,Combat,200,yes,
[417] Equip a Full Mithril Set,Medium,General,Combat,30,no,
[418] Equip a Full Adamant Set,Medium,General,Combat,30,no,
[419] Equip a Full Rune Set,Hard,General,Combat,80,no,
[420] Equip a Full Dragon Set,Master,General,Combat,400,no,
[421] Equip a Studded Body and Chaps,Easy,General,Combat,10,no,
[422] Equip a Full Green Dragonhide Set,Medium,General,Combat,30,no,
[423] Equip a Full Blue Dragonhide Set,Medium,General,Combat,30,no,
[424] Equip a Full Red Dragonhide Set,Medium,General,Combat,30,no,
[425] Equip a Full Black Dragonhide Set,Hard,General,Combat,80,no,
[426] Equip a Maple Shortbow,Medium,General,Combat,30,yes,
[427] Equip a Yew Shortbow,Medium,General,Combat,30,yes,
[428] Equip a Magic Shortbow,Hard,General,Combat,80,yes,
[429] Equip a Rune Crossbow,Hard,General,Combat,80,yes,
[430] Equip an Elemental Staff,Easy,General,Combat,10,no,
[431] Cast Home Teleport,Easy,General,Skilling,10,no,
[432] Teleport Using Law Runes,Medium,General,Skilling,30,no,
[433] Equip an Elemental Battlestaff or Mystic Staff,Medium,General,Combat,30,no,
[434] Cast a Blast Spell,Medium,General,Combat,30,no,
[435] Cast High Level Alchemy,Medium,General,Skilling,30,no,
[436] Equip a Combination Battlestaff or Mystic Staff,Hard,General,Combat,80,no,
[437] Cast a Wave Spell,Hard,General,Combat,80,no,
[438] Cast a Surge Spell,Hard,General,Combat,80,no,
[439] Dismantle 20 Filled Bird Houses,Medium,Misthalin,Skilling,30,no,
[440] Set up a Magic Bird House,Hard,Misthalin,Skilling,80,no,
[443] Catch a Herbiboar 50 Times,Hard,Misthalin,Skilling,80,no,
[444] Catch a Herbiboar 150 Times,Elite,Misthalin,Skilling,200,no,
[445] Catch 50 Implings in Puro-Puro,Medium,Misthalin,Other,30,no,
[447] Complete a Volcanic Mine Game,Medium,Misthalin,Other,30,no,
[449] Mine a Runite Ore Fragment,Elite,Misthalin,Other,200,partial,
[450] Use the Range in Lumbridge Castle,Medium,Misthalin,Skilling,30,no,
[451] Enter the Cooks' Guild,Medium,Misthalin,Skilling,30,no,
[452] Check a grown Magic Tree in Lumbridge,Hard,Misthalin,Skilling,80,no,
[454] Pickpocket a HAM Member,Medium,Misthalin,Skilling,30,no,
[455] Pickpocket a Varrock Guard,Medium,Misthalin,Skilling,30,no,
[457] Steal From the Varrock Tea Stall,Easy,Misthalin,Skilling,10,no,
[458] Pickpocket a Bullseye Lantern From a Cave Goblin,Medium,Misthalin,Skilling,30,no,
[459] Complete the Draynor Agility Course,Easy,Misthalin,Skilling,10,no,
[460] Complete 10 Laps of the Draynor Agility Course,Medium,Misthalin,Skilling,30,no,
[462] Craft 50 Water Runes,Medium,Misthalin,Skilling,30,no,
[463] Craft 50 Cosmic Runes,Medium,Misthalin,Skilling,30,no,
[464] Use Enriched Bones on the Strange Machine,Hard,Misthalin,Skilling,80,no,
[465] Chop a Sulliuscep Cap,Medium,Misthalin,Skilling,30,partial,
[466] Defeat the Lesser Demon in the Wizards' Tower,Easy,Misthalin,Combat,10,yes,
[467] Defeat a Fossil Island Wyvern,Medium,Misthalin,Combat,30,no,
[468] Defeat a Rune Dragon,Hard,Fremennik,Combat,80,yes,
[469] Equip a Dragon Crossbow,Elite,Fremennik,Combat,200,yes,
[470] Equip a Dragon Platebody or Dragon Kiteshield,Elite,Fremennik,Combat,200,no,
[472] Defeat Obor,Medium,Misthalin,Combat,30,yes,
[473] Equip a Hill Giant Club,Hard,Misthalin,Combat,80,yes,
[474] Equip a Dragonfire Shield,Elite,Misthalin,Combat,200,yes,
[476] Defeat Bryophyta,Medium,Misthalin,Combat,30,yes,
[477] Equip Bryophyta's Staff,Hard,Misthalin,Combat,80,yes,
[478] Equip an Ancient Wyvern Shield,Elite,Misthalin,Combat,200,yes,
[479] Equip a Dorgeshuun Crossbow,Medium,Misthalin,Combat,30,yes,
[480] Defeat the Abyssal Sire,Hard,Misthalin,Combat,80,yes,
[481] Equip an Abyssal Bludgeon,Elite,Misthalin,Combat,200,yes,
[483] Equip an Abyssal Dagger,Elite,Misthalin,Combat,200,yes,
[484] Offer an Unsired to the Font of Consumption,Hard,Misthalin,Combat,80,no,
[485] Defeat the Abyssal Sire 50 Times,Elite,Misthalin,Combat,200,no,
[486] Defeat the Abyssal Sire 150 Times,Elite,Misthalin,Combat,200,no,
[487] Defeat the Abyssal Sire 300 Times,Elite,Misthalin,Combat,200,no,
[488] Complete the Easy Lumbridge & Draynor Diary,Medium,Misthalin,Diary,30,no,
[489] Complete the Medium Lumbridge & Draynor Diary,Medium,Misthalin,Diary,30,no,
